,id,total_images,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition,price_for_m2,fromcenter_category
39,39,15,5200000.0,54.4,2018-11-29T00:00:00,2,2.75,9.0,29.7,2,False,False,False,8.8,2,Санкт-Петербург,13413.0,12209.0,0.0,5000.0,1.0,1175.0,29,95588,в пределах города
40,40,9,3590000.0,36.0,2017-03-15T00:00:00,1,2.6,26.0,15.0,22,False,False,False,10.0,2,посёлок Парголово,52996.0,19143.0,0.0,5000.0,0.0,5000.0,430,99722,область
41,41,16,7900000.0,74.0,2016-05-04T00:00:00,3,2.75,14.0,59.0,8,False,False,False,12.0,5,Санкт-Петербург,37715.0,12612.0,1.0,725.0,1.0,759.0,179,106756,в пределах города
42,42,13,22000000.0,161.8,2015-07-08T00:00:00,4,2.8,4.0,80.9,2,False,False,False,17.6,5,Петергоф,35416.0,30605.0,2.0,47.0,1.0,907.0,987,135970,область
43,43,13,9330000.0,48.0,2017-01-10T00:00:00,2,3.0,4.0,28.0,4,False,False,False,7.5,0,Санкт-Петербург,15016.0,10822.0,0.0,5000.0,1.0,492.0,763,194375,в пределах города
45,45,17,5200000.0,50.6,2018-12-02T00:00:00,2,2.65,9.0,30.3,7,False,False,False,7.0,0,Санкт-Петербург,30011.0,12872.0,0.0,5000.0,0.0,5000.0,0,102766,в пределах города
46,46,17,6600000.0,52.1,2019-01-31T00:00:00,2,2.6,24.0,29.7,9,False,False,False,8.3,2,Санкт-Петербург,15114.0,12702.0,0.0,5000.0,0.0,5000.0,0,126679,в пределах города
48,48,10,3600000.0,33.83,2017-10-03T00:00:00,1,2.75,24.0,15.35,6,False,False,False,9.5,0,Санкт-Петербург,21460.0,16788.0,0.0,5000.0,1.0,170.0,322,106414,в пределах города
49,49,1,3050000.0,30.8,2018-11-22T00:00:00,1,2.5,9.0,18.0,7,False,False,False,6.0,0,Санкт-Петербург,45341.0,16603.0,1.0,675.0,0.0,5000.0,0,99025,в пределах города
50,50,1,4500000.0,48.2,2017-11-13T00:00:00,1,2.7,5.0,25.4,4,False,False,False,9.0,1,Пушкин,19841.0,30183.0,1.0,531.0,3.0,330.0,152,93360,область
51,51,7,45000000.0,161.0,2017-10-17T00:00:00,3,3.2,8.0,38.0,4,False,False,False,50.0,0,Санкт-Петербург,32537.0,6589.0,0.0,5000.0,3.0,99.0,541,279503,в пределах города
52,52,20,11795000.0,136.0,2017-09-22T00:00:00,6,3.0,2.0,94.0,2,False,False,False,11.0,1,Санкт-Петербург,16510.0,6582.0,1.0,526.0,0.0,5000.0,0,86727,в пределах города
53,53,7,4300000.0,39.1,2017-11-10T00:00:00,1,2.68,25.0,15.4,13,False,False,False,15.5,2,посёлок Парголово,52611.0,18783.0,0.0,5000.0,0.0,5000.0,6,109974,область
54,54,6,3320000.0,36.5,2017-04-14T00:00:00,1,2.75,24.0,14.0,6,False,False,False,12.0,0,Санкт-Петербург,33331.0,14495.0,0.0,5000.0,0.0,5000.0,44,90958,в пределах города
55,55,20,7400000.0,58.8,2018-03-24T00:00:00,2,2.6,10.0,33.7,9,False,False,False,10.7,0,Санкт-Петербург,10643.0,12260.0,0.0,5000.0,1.0,998.0,69,125850,в пределах города
56,56,14,4350000.0,41.0,2016-03-28T00:00:00,1,2.8,7.0,18.1,4,False,False,False,11.1,2,Санкт-Петербург,13772.0,9626.0,1.0,271.0,1.0,439.0,152,106097,в пределах города
57,57,7,3200000.0,45.0,2017-10-25T00:00:00,1,2.68,25.0,17.0,10,False,False,False,12.0,0,посёлок Шушары,13097.0,18883.0,0.0,5000.0,1.0,649.0,173,71111,область
58,58,11,3900000.0,33.0,2017-07-05T00:00:00,1,2.6,9.0,19.0,5,False,False,False,7.0,0,Санкт-Петербург,12988.0,15579.0,0.0,5000.0,2.0,898.0,298,118181,в пределах города
61,61,18,7990000.0,74.0,2017-08-24T00:00:00,2,3.19,4.0,43.0,4,False,False,False,20.0,0,Санкт-Петербург,22568.0,4288.0,1.0,363.0,0.0,5000.0,609,107972,центр
63,63,2,20000000.0,118.0,2018-09-11T00:00:00,3,3.0,9.0,68.0,7,False,False,False,16.0,0,Санкт-Петербург,26055.0,4800.0,1.0,648.0,1.0,779.0,37,169491,центр
65,65,7,4400000.0,57.0,2018-03-03T00:00:00,3,2.5,5.0,39.0,2,False,False,False,7.0,0,Санкт-Петербург,35361.0,10484.0,0.0,5000.0,0.0,5000.0,216,77192,в пределах города
67,67,6,2550000.0,31.0,2018-08-28T00:00:00,1,2.5,5.0,15.4,4,False,False,False,7.2,0,Ломоносов,47675.0,51100.0,0.0,5000.0,2.0,490.0,39,82258,область
70,70,9,3400000.0,30.0,2018-09-05T00:00:00,1,2.75,5.0,16.0,1,False,False,False,7.0,0,Санкт-Петербург,39053.0,8313.0,1.0,382.0,0.0,5000.0,14,113333,в пределах города
71,71,20,4850000.0,57.5,2019-03-27T00:00:00,3,2.5,9.0,39.0,8,False,False,False,6.2,0,Санкт-Петербург,33623.0,12267.0,1.0,334.0,1.0,333.0,0,84347,в пределах города
72,72,10,4500000.0,55.0,2018-12-09T00:00:00,2,2.7,3.0,35.5,2,False,False,False,7.5,1,Кронштадт,68258.0,49984.0,3.0,167.0,3.0,118.0,141,81818,область
73,73,10,4750000.0,73.8,2016-03-14T00:00:00,3,2.68,10.0,44.8,1,False,False,False,10.4,0,посёлок Парголово,53817.0,23742.0,0.0,5000.0,3.0,631.0,166,64363,область
74,74,3,2350000.0,34.0,2018-06-14T00:00:00,1,2.5,9.0,19.0,8,False,False,False,7.1,0,Колпино,26765.0,32551.0,1.0,445.0,1.0,996.0,121,69117,область
75,75,19,4950000.0,44.0,2018-02-27T00:00:00,2,2.7,23.0,21.0,19,False,False,False,15.0,2,Санкт-Петербург,15749.0,14545.0,0.0,5000.0,0.0,5000.0,36,112500,в пределах города
77,77,7,4300000.0,62.1,2016-03-13T00:00:00,3,2.55,5.0,43.5,1,False,False,False,7.3,0,Санкт-Петербург,19646.0,15572.0,1.0,231.0,2.0,854.0,186,69243,в пределах города
78,78,9,4350000.0,37.0,2018-02-22T00:00:00,1,2.75,19.0,18.0,6,False,False,False,10.7,0,Санкт-Петербург,34324.0,14192.0,0.0,5000.0,0.0,5000.0,45,117567,в пределах города
83,83,10,4200000.0,41.4,2018-09-24T00:00:00,1,2.7,25.0,16.5,20,False,False,False,10.2,0,посёлок Парголово,53554.0,19107.0,0.0,5000.0,0.0,5000.0,81,101449,область
85,85,13,5200000.0,46.3,2018-11-26T00:00:00,2,3.0,5.0,27.8,5,False,False,False,8.0,0,Санкт-Петербург,13334.0,9319.0,0.0,5000.0,1.0,682.0,65,112311,в пределах города
86,86,15,4500000.0,63.0,2018-07-17T00:00:00,2,2.68,11.0,36.0,3,False,False,False,9.0,2,посёлок Металлострой,26128.0,27825.0,0.0,5000.0,0.0,5000.0,100,71428,область
87,87,19,4999000.0,52.0,2019-04-23T00:00:00,2,2.61,9.0,30.0,6,False,False,False,9.0,2,Санкт-Петербург,12444.0,15035.0,0.0,5000.0,1.0,881.0,0,96134,в пределах города
90,90,9,6450000.0,67.7,2017-09-16T00:00:00,3,2.75,9.0,40.0,4,False,False,False,8.0,1,Санкт-Петербург,32668.0,13832.0,0.0,5000.0,0.0,5000.0,534,95273,в пределах города
93,93,10,3500000.0,40.4,2016-06-15T00:00:00,1,2.75,9.0,20.0,7,False,False,False,10.0,1,Санкт-Петербург,32574.0,11648.0,1.0,511.0,0.0,5000.0,239,86633,в пределах города
94,94,3,3500000.0,29.5,2019-04-26T00:00:00,1,2.5,5.0,15.6,2,False,False,False,5.5,1,Санкт-Петербург,12921.0,7303.0,0.0,5000.0,0.0,5000.0,4,118644,в пределах города
95,95,14,5150000.0,47.0,2018-08-06T00:00:00,2,2.75,9.0,28.1,9,False,False,False,7.0,2,Санкт-Петербург,10142.0,13743.0,2.0,751.0,1.0,881.0,34,109574,в пределах города
96,96,20,8780000.0,78.3,2018-08-24T00:00:00,3,2.5,15.0,51.0,9,False,False,False,11.0,0,Санкт-Петербург,52108.0,16333.0,0.0,5000.0,1.0,746.0,31,112132,в пределах города
98,98,11,11700000.0,80.0,2014-12-10T00:00:00,3,2.75,5.0,55.1,3,False,False,False,11.0,0,Санкт-Петербург,11248.0,8767.0,1.0,666.0,0.0,5000.0,831,146250,в пределах города
99,99,32,9600000.0,90.0,2017-09-26T00:00:00,4,3.19,5.0,67.0,2,False,False,False,8.0,0,Санкт-Петербург,23277.0,2818.0,0.0,5000.0,0.0,5000.0,104,106666,центр
100,100,16,3800000.0,38.6,2018-02-22T00:00:00,1,2.75,9.0,18.0,6,False,False,False,8.4,2,Санкт-Петербург,36450.0,13364.0,0.0,5000.0,0.0,5000.0,8,98445,в пределах города
102,102,7,3700000.0,33.0,2016-04-15T00:00:00,1,2.75,14.0,18.0,2,False,False,False,6.2,1,Санкт-Петербург,49214.0,16140.0,0.0,5000.0,0.0,5000.0,88,112121,в пределах города
103,103,14,4800000.0,35.0,2018-10-04T00:00:00,1,2.7,25.0,17.0,9,False,False,False,9.0,0,Санкт-Петербург,42499.0,9719.0,0.0,5000.0,0.0,5000.0,19,137142,в пределах города
104,104,15,6900000.0,77.2,2018-04-18T00:00:00,4,2.6,9.0,61.0,1,False,False,False,6.0,0,Санкт-Петербург,12403.0,10787.0,0.0,5000.0,1.0,713.0,300,89378,в пределах города
105,105,12,4900000.0,32.0,2018-01-07T00:00:00,1,2.75,25.0,15.0,5,False,False,False,9.0,0,Санкт-Петербург,52480.0,15598.0,0.0,5000.0,1.0,464.0,60,153125,в пределах города
106,106,9,10500000.0,124.1,2017-05-25T00:00:00,5,3.2,4.0,79.4,3,False,False,False,20.0,0,Санкт-Петербург,26825.0,5527.0,1.0,384.0,0.0,5000.0,6,84609,в пределах города
107,107,1,11000000.0,101.0,2016-04-13T00:00:00,4,3.0,3.0,73.0,3,False,False,False,9.0,1,Павловск,20746.0,32900.0,3.0,127.0,3.0,405.0,122,108910,область
108,108,9,9490000.0,80.0,2017-10-30T00:00:00,3,2.55,10.0,46.0,7,False,False,False,11.0,1,Санкт-Петербург,35958.0,9860.0,0.0,5000.0,0.0,5000.0,0,118625,в пределах города
109,109,2,7497600.0,62.5,2015-12-08T00:00:00,2,2.68,5.0,35.5,5,False,False,False,9.5,0,Пушкин,14517.0,26670.0,1.0,517.0,0.0,5000.0,1048,119961,область
111,111,4,4590000.0,40.0,2017-05-29T00:00:00,1,2.75,6.0,18.0,1,False,False,False,10.0,0,Санкт-Петербург,20062.0,6175.0,1.0,241.0,0.0,5000.0,31,114750,в пределах города
113,113,8,5750000.0,78.0,2016-05-19T00:00:00,3,2.68,27.0,45.4,27,False,False,False,10.8,2,посёлок Парголово,53134.0,19311.0,0.0,5000.0,0.0,5000.0,426,73717,область
114,114,5,4000000.0,21.4,2019-02-07T00:00:00,1,2.9,8.0,8.3,7,False,False,False,6.3,0,Санкт-Петербург,27089.0,5791.0,2.0,488.0,1.0,286.0,0,186915,в пределах города
115,115,8,3850000.0,42.0,2018-11-05T00:00:00,2,2.75,5.0,27.0,4,False,False,False,6.5,0,Санкт-Петербург,43019.0,8535.0,0.0,5000.0,0.0,5000.0,73,91666,в пределах города
117,117,10,8520000.0,84.7,2018-03-04T00:00:00,3,3.2,5.0,55.9,4,False,False,False,8.4,1,Санкт-Петербург,37889.0,9816.0,1.0,156.0,0.0,5000.0,390,100590,в пределах города
118,118,8,4500000.0,31.0,2019-02-24T00:00:00,1,2.5,9.0,17.0,4,False,False,False,5.0,0,Санкт-Петербург,35445.0,9089.0,0.0,5000.0,2.0,439.0,60,145161,в пределах города
119,119,10,6200000.0,67.0,2015-10-21T00:00:00,3,2.75,6.0,42.5,2,False,False,False,8.2,2,Санкт-Петербург,37836.0,12250.0,1.0,576.0,1.0,556.0,330,92537,в пределах города
120,120,11,2500000.0,30.9,2017-10-20T00:00:00,1,2.75,5.0,16.7,1,False,False,False,6.0,0,Кронштадт,68997.0,50722.0,1.0,285.0,2.0,221.0,360,80906,область
121,121,20,33000000.0,180.0,2017-02-17T00:00:00,3,2.9,9.0,86.0,8,False,False,False,24.0,4,Санкт-Петербург,25689.0,4264.0,1.0,633.0,0.0,5000.0,144,183333,центр
123,123,2,4300000.0,48.0,2019-04-04T00:00:00,1,2.75,22.0,14.0,5,False,False,False,23.8,0,Санкт-Петербург,16951.0,15747.0,0.0,5000.0,1.0,1097.0,9,89583,в пределах города
124,124,20,12490000.0,87.8,2019-03-10T00:00:00,3,2.75,12.0,45.1,3,False,False,False,24.0,1,Санкт-Петербург,32746.0,13845.0,0.0,5000.0,1.0,516.0,0,142255,в пределах города
125,125,20,4800000.0,65.9,2018-02-25T00:00:00,3,2.55,9.0,48.5,8,False,False,False,6.3,0,Санкт-Петербург,44855.0,17093.0,0.0,5000.0,0.0,5000.0,239,72837,область
126,126,10,4050000.0,51.0,2019-04-23T00:00:00,2,2.68,5.0,30.5,1,False,False,False,6.6,0,Пушкин,17974.0,32546.0,1.0,15.0,1.0,659.0,0,79411,область
127,127,6,6210000.0,55.0,2019-04-29T00:00:00,2,2.5,11.0,31.9,3,False,False,False,8.3,0,Санкт-Петербург,31398.0,11990.0,0.0,5000.0,0.0,5000.0,0,112909,в пределах города
128,128,6,2500000.0,31.0,2019-02-13T00:00:00,1,2.75,3.0,19.5,1,False,False,False,5.0,0,Ломоносов,48649.0,52073.0,0.0,5000.0,2.0,896.0,35,80645,область
129,129,0,3200000.0,32.0,2018-02-01T00:00:00,1,2.5,9.0,18.0,3,False,False,False,8.0,0,Санкт-Петербург,49587.0,16425.0,1.0,215.0,0.0,5000.0,40,100000,в пределах города
132,132,13,2699000.0,33.0,2017-10-13T00:00:00,1,2.5,9.0,19.0,7,False,False,False,6.0,0,Петергоф,45332.0,48757.0,0.0,5000.0,0.0,5000.0,49,81787,область
134,134,10,3800000.0,33.7,2017-07-10T00:00:00,1,2.65,17.0,15.1,3,False,False,False,7.3,0,Санкт-Петербург,35452.0,15458.0,0.0,5000.0,1.0,998.0,353,112759,в пределах города
135,135,7,3990000.0,48.0,2018-09-28T00:00:00,1,3.25,5.0,20.5,1,False,False,False,17.0,0,Сестрорецк,57998.0,34928.0,0.0,5000.0,2.0,443.0,216,83125,область
136,136,16,6500000.0,51.8,2018-08-01T00:00:00,2,3.45,6.0,25.6,2,False,False,False,7.3,1,Санкт-Петербург,20502.0,3618.0,2.0,533.0,1.0,812.0,163,125482,центр
137,137,11,13310800.0,85.1,2018-01-01T00:00:00,2,2.7,10.0,31.52,5,False,False,False,26.85,1,Санкт-Петербург,31460.0,4263.0,1.0,141.0,3.0,133.0,340,156413,центр
138,138,8,4800000.0,40.0,2017-11-18T00:00:00,2,3.19,3.0,29.0,2,False,False,False,6.0,0,Санкт-Петербург,23371.0,2913.0,0.0,5000.0,2.0,729.0,80,120000,центр
140,140,8,16912000.0,105.7,2016-12-09T00:00:00,2,2.7,3.0,48.4,1,False,False,False,15.4,0,Пушкин,14352.0,26506.0,3.0,366.0,3.0,179.0,390,160000,область
141,141,8,6500000.0,32.6,2019-02-27T00:00:00,1,2.75,5.0,18.5,5,False,False,False,5.5,0,Санкт-Петербург,24764.0,5448.0,0.0,5000.0,0.0,5000.0,0,199386,в пределах города
143,143,9,2990000.0,30.0,2016-06-08T00:00:00,1,2.5,9.0,20.0,9,False,False,False,5.6,0,Санкт-Петербург,30067.0,6262.0,0.0,5000.0,1.0,332.0,60,99666,в пределах города
145,145,6,8290000.0,77.0,2015-09-21T00:00:00,2,2.77,16.0,40.0,5,False,False,False,10.0,1,Санкт-Петербург,30012.0,7384.0,0.0,5000.0,1.0,260.0,807,107662,в пределах города
146,146,11,4400000.0,53.6,2018-03-31T00:00:00,2,2.55,10.0,29.2,10,False,False,False,7.8,1,Сестрорецк,60883.0,36102.0,1.0,341.0,2.0,256.0,55,82089,область
147,147,10,27700000.0,179.6,2017-07-06T00:00:00,5,2.85,25.0,97.2,25,False,False,False,33.8,2,Санкт-Петербург,19424.0,4489.0,0.0,5000.0,1.0,806.0,75,154231,центр
148,148,20,4790000.0,35.5,2018-11-04T00:00:00,1,2.65,25.0,17.0,20,False,False,False,9.0,0,Санкт-Петербург,36688.0,11841.0,0.0,5000.0,2.0,981.0,71,134929,в пределах города
149,149,9,5300000.0,53.0,2018-06-28T00:00:00,2,2.65,12.0,31.5,6,False,False,False,7.6,0,Санкт-Петербург,10128.0,12247.0,2.0,633.0,1.0,878.0,55,100000,в пределах города
150,150,9,3900000.0,45.0,2017-07-01T00:00:00,2,2.75,5.0,29.0,3,False,False,False,6.0,0,Санкт-Петербург,39793.0,9052.0,0.0,5000.0,0.0,5000.0,222,86666,в пределах города
152,152,6,8090000.0,81.22,2018-08-08T00:00:00,3,2.64,24.0,42.9,10,False,False,False,12.72,1,Санкт-Петербург,17755.0,16576.0,0.0,5000.0,1.0,594.0,104,99606,в пределах города
153,153,12,4350000.0,55.0,2017-05-21T00:00:00,2,2.57,9.0,31.2,2,False,False,False,8.3,0,Петергоф,45958.0,34425.0,1.0,589.0,0.0,5000.0,45,79090,область
154,154,1,8200000.0,80.0,2018-11-06T00:00:00,3,4.15,3.0,44.2,2,False,False,False,12.2,0,Санкт-Петербург,20562.0,3167.0,2.0,344.0,1.0,838.0,38,102500,центр
156,156,11,10990000.0,80.0,2018-06-25T00:00:00,2,2.75,22.0,34.0,19,False,False,False,19.0,2,Санкт-Петербург,34967.0,14640.0,0.0,5000.0,1.0,564.0,7,137375,в пределах города
157,157,15,7250000.0,75.75,2017-02-15T00:00:00,2,2.7,22.0,40.61,3,False,False,False,15.0,2,Санкт-Петербург,51531.0,14184.0,0.0,5000.0,0.0,5000.0,30,95709,в пределах города
159,159,14,7050000.0,66.0,2017-09-04T00:00:00,3,3.0,4.0,37.8,4,False,False,False,11.0,0,Санкт-Петербург,26235.0,4937.0,0.0,5000.0,1.0,1013.0,98,106818,центр
160,160,9,3300000.0,41.9,2017-07-30T00:00:00,1,2.68,7.0,15.4,7,False,False,False,12.4,2,посёлок Шушары,18240.0,30245.0,0.0,5000.0,1.0,264.0,228,78758,область
161,161,2,5000000.0,42.9,2016-04-11T00:00:00,1,2.75,23.0,18.9,8,False,False,False,7.9,1,Санкт-Петербург,43269.0,13145.0,1.0,417.0,0.0,5000.0,69,116550,в пределах города
162,162,2,5600000.0,66.0,2018-07-11T00:00:00,3,2.5,9.0,48.0,9,False,False,False,6.3,0,Санкт-Петербург,45589.0,17018.0,1.0,762.0,0.0,5000.0,0,84848,область
163,163,17,6500000.0,67.4,2017-05-11T00:00:00,3,2.65,17.0,40.1,6,False,False,False,10.3,1,Санкт-Петербург,33745.0,14844.0,0.0,5000.0,1.0,357.0,56,96439,в пределах города
167,167,11,3750000.0,35.1,2019-04-08T00:00:00,1,2.75,23.0,15.9,1,False,False,False,9.8,0,Санкт-Петербург,22314.0,17642.0,0.0,5000.0,1.0,68.0,0,106837,область
169,169,0,6180000.0,85.0,2017-06-02T00:00:00,3,2.8,17.0,51.8,17,False,False,False,17.5,0,Санкт-Петербург,16057.0,14853.0,0.0,5000.0,0.0,5000.0,20,72705,в пределах города
171,171,6,3800000.0,49.0,2019-02-22T00:00:00,2,2.5,9.0,38.0,8,False,False,False,10.0,1,посёлок Шушары,18471.0,24272.0,0.0,5000.0,0.0,5000.0,11,77551,область
173,173,15,11000000.0,97.9,2017-04-11T00:00:00,3,2.75,16.0,57.7,3,False,False,False,14.7,1,Санкт-Петербург,14069.0,12621.0,0.0,5000.0,0.0,5000.0,0,112359,в пределах города
176,176,5,7835000.0,52.56,2019-03-14T00:00:00,1,2.75,24.0,15.36,2,False,False,False,20.91,0,Санкт-Петербург,43396.0,12153.0,0.0,5000.0,0.0,5000.0,0,149067,в пределах города
177,177,3,21042018.0,154.9,2017-09-10T00:00:00,4,3.3,16.0,89.11,3,False,False,False,21.3,0,Санкт-Петербург,37434.0,8460.0,1.0,441.0,2.0,427.0,563,135842,в пределах города
179,179,5,14800000.0,108.7,2019-04-11T00:00:00,3,4.0,5.0,72.4,5,False,False,False,8.0,0,Санкт-Петербург,23017.0,2559.0,1.0,559.0,0.0,5000.0,0,136154,центр
180,180,11,3850000.0,31.7,2018-08-02T00:00:00,1,2.5,5.0,17.9,2,False,False,False,5.6,2,Санкт-Петербург,10709.0,10933.0,0.0,5000.0,0.0,5000.0,8,121451,в пределах города
181,181,2,7900000.0,71.8,2017-08-23T00:00:00,3,3.0,5.0,38.7,1,False,False,False,12.0,0,Санкт-Петербург,22036.0,3301.0,0.0,5000.0,1.0,585.0,0,110027,центр
182,182,16,3400000.0,60.0,2017-10-10T00:00:00,3,2.5,5.0,44.1,1,False,False,False,6.0,0,Красное Село,26090.0,29514.0,0.0,5000.0,0.0,5000.0,98,56666,область
183,183,9,3000000.0,43.8,2017-02-16T00:00:00,2,2.7,5.0,27.7,2,False,False,False,5.5,0,посёлок Понтонный,31458.0,33170.0,0.0,5000.0,0.0,5000.0,246,68493,область
184,184,7,2600000.0,30.2,2018-02-14T00:00:00,1,2.65,9.0,26.1,5,False,False,False,6.2,0,Санкт-Петербург,13952.0,15031.0,0.0,5000.0,1.0,824.0,12,86092,в пределах города
